,url,type,askPrice,maxBid,bidAskDiff,priorityProduct,distanceMeters,date
0,https://www.marktplaats.nl/a/muziek-en-instrumenten/blaasinstrumenten-saxofoons/m1550536235-tenor-saxofoon-yamaha-yts-62.html,RESERVED,1250.0,820.0,-430.0,NONE,-1000,2019-05-14T08:19:07Z
1,https://www.marktplaats.nl/a/muziek-en-instrumenten/piano-s/m1550568554-classic-cantabile-dp-60-digitale-piano-nette-staat.html,FIXED,400.0,275.0,-125.0,NONE,96000,2019-05-14T09:31:07Z
2,https://www.marktplaats.nl/a/muziek-en-instrumenten/percussie/m1507372830-drumvel-remo-wheaterking-13-coated-ambassador.html,FIXED,2.5,2.0,-0.5,NONE,61000,2020-01-25T14:22:15Z
3,https://www.marktplaats.nl/a/muziek-en-instrumenten/drumstellen-en-slagwerk/m1507415574-roland-td-4kp-drumstel-e-drum-compleet-met-tas.html,FIXED,599.95,500.0,-99.95000000000005,NONE,42000,2020-01-25T15:36:29Z
4,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-akoestisch/m1507475444-ovation.html,MIN_BID,850.0,400.0,-450.0,NONE,161000,2020-01-25T18:06:52Z
5,https://www.marktplaats.nl/a/muziek-en-instrumenten/microfoons/m1507499550-m-audio-audiobuddy-microfoon-versterker-met-48v-power.html,MIN_BID,20.0,15.0,-5.0,NONE,49000,2020-01-25T19:20:54Z
6,https://www.marktplaats.nl/a/muziek-en-instrumenten/effecten/m1507660285-boss-metal-zone-mt-2.html,FIXED,75.0,40.0,-35.0,NONE,53000,2020-01-26T11:11:28Z
7,https://www.marktplaats.nl/a/muziek-en-instrumenten/effecten/m1507661730-boss-super-overdrive-sd-808.html,FIXED,65.0,25.0,-40.0,NONE,53000,2020-01-26T11:13:57Z
8,https://www.marktplaats.nl/a/muziek-en-instrumenten/effecten/m1507662743-boss-effecten-adapter-9v.html,FIXED,20.0,19.0,-1.0,NONE,53000,2020-01-26T11:15:43Z
9,https://www.marktplaats.nl/a/muziek-en-instrumenten/keyboards/m1507707485-vintage-elektrisch-kofferorgeltje-windorgel-koestler-uit-57.html,FIXED,75.0,25.0,-50.0,NONE,56000,2020-01-26T12:30:35Z
10,https://www.marktplaats.nl/a/muziek-en-instrumenten/midi-apparatuur/m1507747157-dual-transformer-isolator.html,MIN_BID,15.0,15.0,0.0,NONE,89000,2020-01-26T13:32:52Z
11,https://www.marktplaats.nl/a/muziek-en-instrumenten/drumstellen-en-slagwerk/m1507759126-indiase-nagara-drums-laatste-kans.html,MIN_BID,150.0,85.0,-65.0,NONE,104000,2020-01-26T13:52:00Z
12,https://www.marktplaats.nl/a/muziek-en-instrumenten/blaasinstrumenten-overige/m1507767141-vintage-suzuki-melodion-s-27.html,FIXED,22.5,15.0,-7.5,NONE,28000,2020-01-26T14:04:48Z
13,https://www.marktplaats.nl/a/muziek-en-instrumenten/blaasinstrumenten-trompetten/m1507845140-koperen-trompetten-met-koffer.html,FIXED,80.0,51.0,-29.0,NONE,18000,2020-01-26T16:14:22Z
14,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-harpen/m1507846000-salvi-ana-harp.html,MIN_BID,2250.0,1250.0,-1000.0,NONE,49000,2020-01-26T16:16:01Z
15,https://www.marktplaats.nl/a/muziek-en-instrumenten/instrumenten-onderdelen/m1507861307-rockfield-humbucker-set.html,MIN_BID,40.0,32.5,-7.5,NONE,65000,2020-01-26T16:48:09Z
16,https://www.marktplaats.nl/a/muziek-en-instrumenten/licht-en-laser/m1507867449-discospullen-discobol-sleutelhangers-en-geluidmixer.html,FIXED,52.5,25.0,-27.5,NONE,120000,2020-01-26T17:02:55Z
17,https://www.marktplaats.nl/a/muziek-en-instrumenten/microfoons/m1507871367-rode-stereo-videomic.html,FIXED,80.0,50.0,-30.0,NONE,183000,2020-01-26T17:12:45Z
18,https://www.marktplaats.nl/a/muziek-en-instrumenten/licht-en-laser/m1507880660-3x-blauwe-zwaailamp-led-12v.html,MIN_BID,7.5,17.5,10.0,NONE,98000,2020-01-26T17:37:38Z
19,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1507895815-bose-acoustimass-5-series-iii-direct-reflecting-speakerset.html,FIXED,125.0,90.0,-35.0,NONE,45000,2020-01-26T18:17:07Z
20,https://www.marktplaats.nl/a/muziek-en-instrumenten/dj-sets-en-draaitafels/m1507939174-dj-set-reloop.html,MIN_BID,450.0,265.0,-185.0,NONE,60000,2020-01-26T20:06:06Z
21,https://www.marktplaats.nl/a/muziek-en-instrumenten/instrumenten-onderdelen/m1507998570-tama-titan-snarestand-20069.html,FIXED,25.0,20.0,-5.0,NONE,100000,2020-01-27T07:33:01Z
22,https://www.marktplaats.nl/a/muziek-en-instrumenten/versterkers-bas-en-gitaar/m1507998901-fender-vaporizer-buizen-versterker-geupgraded-met-celestion.html,MIN_BID,280.0,235.0,-45.0,NONE,40000,2020-01-27T07:34:56Z
