,url,type,askPrice,maxBid,bidAskDiff,priorityProduct,distanceMeters,date
0,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1543659593-harman-kardon-hks-4-speakerset-2-0-120w-rms.html,FIXED,60.0,40.0,-20.0,NONE,36000,2019-04-29T13:18:11Z
1,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-elektrisch/m1543687917-ibanez-amf73-tobacco-burst-semi-hollow-body.html,MIN_BID,350.0,300.0,-50.0,NONE,-1000,2019-04-29T14:00:25Z
2,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-elektrisch/m1544372868-silent-bass-skeleton-guitar-basgitaar-met-koptelefoon.html,FIXED,175.0,100.0,-75.0,NONE,98000,2019-04-30T20:04:40Z
3,https://www.marktplaats.nl/a/muziek-en-instrumenten/effecten/m1544556372-caroline-kilobyte-lo-fi-delay.html,MIN_BID,170.0,145.0,-25.0,NONE,-1000,2019-05-01T10:28:45Z
4,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1544939853-jbl-boombox-zwart.html,FIXED,150.0,99999.0,99849.0,NONE,203000,2019-05-01T22:17:48Z
5,https://www.marktplaats.nl/a/muziek-en-instrumenten/synthesizers/m1545284381-korg-microkorg.html,RESERVED,200.0,150.0,-50.0,NONE,-1000,2019-05-02T13:51:13Z
6,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-elektrisch/m1545428672-ibanez-as93c-semi-hollow-body.html,MIN_BID,550.0,390.0,-160.0,NONE,102000,2019-05-02T17:23:43Z
7,https://www.marktplaats.nl/a/muziek-en-instrumenten/versterkers-bas-en-gitaar/m1545693129-vox-ad30vt-versterker.html,FIXED,130.0,60.0,-70.0,NONE,12000,2019-05-03T10:23:21Z
8,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1545853149-logitech-z150-speakers.html,MIN_BID,10.0,8.0,-2.0,NONE,111000,2019-05-03T14:26:33Z
9,https://www.marktplaats.nl/a/muziek-en-instrumenten/licht-en-laser/m1546521080-12x-par-56-max-300w.html,FIXED,50.0,20.0,-30.0,NONE,80000,2019-05-04T19:11:54Z
10,https://www.marktplaats.nl/a/muziek-en-instrumenten/licht-en-laser/m1546521573-19-inch-kast-apparatuur-21-units-he.html,FIXED,25.0,15.0,-10.0,NONE,80000,2019-05-04T19:12:53Z
11,https://www.marktplaats.nl/a/muziek-en-instrumenten/licht-en-laser/m1546534912-lichttafel-met-12-dimmers-en-bekabeling-set.html,FIXED,75.0,40.0,-35.0,NONE,80000,2019-05-04T19:43:14Z
12,https://www.marktplaats.nl/a/muziek-en-instrumenten/drumstellen-en-slagwerk/m1546560608-pearl-export-drumset.html,RESERVED,250.0,150.0,-100.0,NONE,162000,2019-05-04T21:00:20Z
13,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1546612228-2x-speakers-voor-guitar-cabinet.html,FIXED,35.0,60.0,25.0,NONE,-1000,2019-05-05T07:03:25Z
14,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-akoestisch/m1548465410-gibson-lg-1-1965.html,FIXED,1750.0,1120.0,-630.0,NONE,185000,2019-05-09T10:07:38Z
15,https://www.marktplaats.nl/a/muziek-en-instrumenten/keyboards/m1548837786-keyboard-bontempi.html,FIXED,40.0,20.0,-20.0,NONE,112000,2019-05-10T09:24:42Z
16,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-elektrisch/m1549310009-gitaar-resonator.html,FIXED,250.0,160.0,-90.0,NONE,102000,2019-05-11T10:28:20Z
17,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-elektrisch/m1549334181-squier-vintage-modified-jazzmaster.html,MIN_BID,300.0,250.0,-50.0,NONE,48000,2019-05-11T11:18:15Z
18,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1549429464-jbl-go.html,FIXED,15.0,10.0,-5.0,NONE,27000,2019-05-11T14:09:16Z
19,https://www.marktplaats.nl/a/muziek-en-instrumenten/versterkers-bas-en-gitaar/m1549700869-ampeg-basversterker-ba-115.html,MIN_BID,170.0,150.0,-20.0,NONE,57000,2019-05-12T08:32:24Z
20,https://www.marktplaats.nl/a/muziek-en-instrumenten/microfoons/m1549846920-shure-55sh-serie-ii.html,FIXED,129.0,80.0,-49.0,NONE,44000,2019-05-12T13:46:48Z
21,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-elektrisch/m1549848114-stratocaster-partscaster-squier-90-s-sunburst-maple-alder.html,FIXED,99.0,85.0,-14.0,NONE,100000,2019-05-12T13:49:02Z
22,https://www.marktplaats.nl/a/muziek-en-instrumenten/versterkers-bas-en-gitaar/m1550028297-versterker-30w.html,MIN_BID,20.0,15.0,-5.0,NONE,36000,2019-05-12T20:20:01Z
23,https://www.marktplaats.nl/a/muziek-en-instrumenten/blaasinstrumenten-trompetten/m1550173501-besson-cornet.html,FIXED,70.0,45.0,-25.0,NONE,88000,2019-05-13T10:37:15Z
24,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-bas/m1550222677-ibanez-srx-720-actieve-basgitaar.html,FIXED,400.0,200.0,-200.0,NONE,58000,2019-05-13T12:14:18Z
