id|title|url|price|sellerId|advertType|distance|city|c2type|monitortype|target_price|margin|date
m1830569051|Nieuw air rower roeitrainer met scherm en wielen - concept 2|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1830569051-nieuw-air-rower-roeitrainer-met-scherm-en-wielen-concept-2|699|2387803|PACKAGE_FREE|30|Zwanenburg|||0|0|2022-04-11T17:01:38Z
m1830647731|Mooie roeimachine Concept 2 PM5 model D|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1830647731-mooie-roeimachine-concept-2-pm5-model-d|950|1403248|PACKAGE_FREE|38|Amsterdam|D|PM5|800|0|2022-04-11T20:40:07Z
m1830662520|Concept 2 met PM5 monitor, concept 2, roeitrainer, roeier|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1830662520-concept-2-met-pm5-monitor-concept-2-roeitrainer-roeier|600|7299491|PACKAGE_FREE|22|Delft||PM5|0|0|2022-04-11T23:14:34Z
m1830744641|Concept 2 met pm4 monitor|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1830744641-concept-2-met-pm4-monitor|800|732227|PACKAGE_FREE|172|Hoensbroek||PM4|0|0|2022-04-12T09:28:29Z
m1830761607|Concept2 RowErg roeimachine|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1830761607-concept2-rowerg-roeimachine|1000|15297758|PACKAGE_FREE|44|Utrecht|||0|0|2022-04-12T10:11:15Z
m1830809585|Roeitrainer concept 2 model 3E met PM3 display!|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1830809585-roeitrainer-concept-2-model-3e-met-pm3-display|775|45468333|PACKAGE_FREE|60|Amersfoort||PM3|0|0|2022-04-12T12:29:15Z
m1830275912|CONCEPT2 roei apparaat  PM3 Model D  indoor rower|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1830275912-concept2-roei-apparaat-pm3-model-d-indoor-rower|NaN|3636196|PACKAGE_FREE|97|Elst|D|PM3|700|0|2022-04-10T19:33:09Z
m1831129091|Concept 2 model D ergometer met pm4 comp. Zo goed als nieuw|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831129091-concept-2-model-d-ergometer-met-pm4-comp-zo-goed-als-nieuw|800|17849123|PACKAGE_FREE|48|De Bilt|D|PM4|700|0|2022-04-13T11:46:44Z
m1831165598|Concept 2 roeier zwart PM2|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831165598-concept-2-roeier-zwart-pm2|500|3202545|PACKAGE_FREE|79|Vught||PM2|0|0|2022-04-13T13:18:48Z
m1831189603|Concept 2 roeier|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1831189603-concept-2-roeier|150|40596889|PACKAGE_FREE|32|Amsterdam|||0|0|2022-04-13T14:16:26Z
